Date,Day_of_Week,Holiday_Name,Year
26-01-2023,Thursday,Republic Day,2023
07-03-2023,Tuesday,Holi,2023
30-03-2023,Thursday,Ram Navami,2023
04-04-2023,Tuesday,Mahavir Jayanti,2023
07-04-2023,Friday,Good Friday,2023
14-04-2023,Friday,Dr. Ambedkar Jayanti,2023
01-05-2023,Monday,Maharashtra Day,2023
29-06-2023,Thursday,Bakri Id,2023
15-08-2023,Tuesday,Independence Day,2023
19-09-2023,Tuesday,Ganesh Chaturthi,2023
02-10-2023,Monday,Gandhi Jayanti,2023
24-10-2023,Tuesday,Dussehra,2023
14-11-2023,Tuesday,Diwali Balipratipada,2023
27-11-2023,Monday,Guru Nanak Jayanti,2023
25-12-2023,Monday,Christmas,2023
26-01-2024,Friday,Republic Day,2024
08-03-2024,Friday,Mahashivratri,2024
25-03-2024,Monday,Holi,2024
29-03-2024,Friday,Good Friday,2024
11-04-2024,Thursday,Id-Ul-Fitr (Ramzan Eid),2024
17-04-2024,Wednesday,Ram Navami,2024
01-05-2024,Wednesday,Maharashtra Day,2024
17-06-2024,Monday,Bakri Id,2024
17-07-2024,Wednesday,Muharram,2024
15-08-2024,Thursday,Independence Day,2024
02-10-2024,Wednesday,Gandhi Jayanti,2024
01-11-2024,Friday,Diwali Laxmi Puja,2024
15-11-2024,Friday,Guru Nanak Jayanti,2024
25-12-2024,Wednesday,Christmas,2024
