Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
02-01-2023,783.6779175,880.6473389,578.9995117,363.8908691,939.1120605,2932.794189,1397.701904,183.3789215,918.427002,920.3868408,962.1013184,830.2246704,1042.268433,3310.154785,4411.582031,18197.44922
03-01-2023,788.8023071,879.5739136,579.1886597,365.4460754,959.7574463,2977.665527,1396.372314,185.2451324,920.1057739,933.4244995,973.77771,830.871521,1047.085938,3330.128174,4447.78125,18232.55078
04-01-2023,774.7041626,877.3782959,572.3791504,363.0334778,954.9202881,2980.632813,1370.921997,181.815979,915.9086914,930.2335815,968.9527588,833.8414917,1038.327026,3371.889648,4390.733887,18042.94922
05-01-2023,769.7240601,857.9102783,572.2844849,362.9437866,947.0410767,2977.441162,1352.946289,180.5096283,922.5356445,922.3471069,980.6293335,842.4671021,1059.202393,3397.702393,4386.524414,17992.15039
06-01-2023,767.1738892,849.0788574,568.0759277,356.2643127,937.416687,2887.922852,1328.459106,178.2235107,912.5512695,899.0981445,973.3917847,837.4191895,1047.523804,3371.251465,4345.324707,17859.44922
09-01-2023,768.6655273,852.2503052,574.7435913,361.2689209,956.2168579,2985.398926,1361.429688,182.7957306,943.1668701,925.6292725,981.2564697,849.6224365,1058.326538,3395.395752,4365.380371,18101.19922
10-01-2023,754.6154175,840.5402832,562.8742065,358.0089417,949.6342773,2955.229492,1347.94812,183.3789215,939.986084,914.1415405,976.4314575,840.7420044,1049.810791,3436.960938,4423.763672,17914.15039
11-01-2023,765.4898071,845.3706665,564.3401489,359.2650757,947.2406006,2993.26709,1349.32373,183.7521667,931.9898682,917.5149536,992.0162354,835.4882202,1019.543762,3348.23584,4318.731934,17895.69922
12-01-2023,769.5797729,839.8572388,562.6377563,354.8087769,933.078125,2998.3479,1357.898804,184.0554352,946.8781128,913.1386108,996.6965332,845.0352173,1032.731079,3244.053223,4317.890137,17858.19922
13-01-2023,770.1812134,852.3480225,567.5557251,354.9683228,931.6818237,3034.496338,1379.038696,183.7755127,952.3121338,914.5974731,995.4901123,846.9563599,1039.154175,3289.593262,4293.922363,17956.59961
16-01-2023,762.7953491,844.3461304,570.2984619,355.8655396,910.7373047,3066.225342,1399.077881,185.9683075,966.3607178,943.1343994,999.2053223,848.0639648,1031.222412,3271.435791,4253.415039,17894.84961
17-01-2023,774.1508179,844.2485352,560.7935181,358.4276733,915.2752686,3107.012695,1411.917603,184.9185638,981.6906128,953.7105103,996.5516968,853.1020508,1040.468018,3285.372803,4281.344727,18053.30078
18-01-2023,787.815979,848.4933472,559.3748169,358.7167969,921.5585938,3117.681152,1417.328735,188.1144562,985.3131104,955.807373,1003.692627,855.5721436,1034.920532,3325.711182,4298.131836,18165.34961
19-01-2023,791.0878906,845.2243652,557.8615723,352.3762817,926.2462769,3102.138428,1411.36731,188.2077789,990.8858032,960.3204956,1004.127075,849.2695923,1036.331787,3319.331543,4276.689941,18107.84961
20-01-2023,799.1955566,849.3228149,560.0842285,351.4989624,928.0913696,3092.942139,1399.123779,188.0911255,987.6758423,954.1207275,994.2839355,852.8766479,1025.237061,3281.20166,4244.10498,18027.65039
23-01-2023,805.041748,850.6402588,567.8867798,355.656189,930.2357178,3140.580811,1419.713379,189.8873596,999.6229248,971.2612305,1012.570557,850.3772583,1034.093384,3322.963135,4293.82373,18118.55078
24-01-2023,815.8198853,849.7131958,562.1174927,350.9705811,907.795166,3160.261719,1423.289917,190.167984,1014.467468,976.0933838,1004.271545,833.694458,1033.704224,3293.862549,4263.666016,18118.30078
25-01-2023,793.2772217,834.6364136,537.8585815,348.8869934,889.9922485,3154.238037,1415.127563,187.806076,1001.004883,958.3602295,1003.64447,823.5397949,1007.524597,3273.889404,4183.790527,17891.94922
27-01-2023,777.4708862,797.4569092,510.6677246,341.569519,871.4414063,3137.040039,1393.254272,186.1691132,994.630249,939.168396,1006.877136,845.7017212,1019.203125,3324.680908,4203.399902,17604.34961
30-01-2023,776.677002,803.6047363,509.0126648,344.1914673,869.5463867,3157.824463,1411.275757,188.1334686,1011.70343,944.6387329,1014.886658,848.6030273,1006.697388,3304.020508,4197.012207,17648.94922
