Ticker,Sector,Downloaded_Rows,Expected_Trading_Days,Missing_Days,Missing_Pct,Max_Consec_Missing,Max_Mkt_Closure_Days,Max_Closure_Period,TC1_ticker_present,TC2_start_date,TC3_end_date,TC4_no_negative_prices,TC5_no_extreme_jumps,TC6_row_count_ok,TC7_max5_consec_missing,TC8_no_zero_volume,Overall_Status
HDFCBANK,Banking,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
ICICIBANK,Banking,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
SBIN,Banking,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
KOTAKBANK,Banking,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
AXISBANK,Banking,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
TCS,IT,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
INFY,IT,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
WIPRO,IT,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
HCLTECH,IT,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
TECHM,IT,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
SUNPHARMA,Pharma,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
DRREDDY,Pharma,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
CIPLA,Pharma,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
DIVISLAB,Pharma,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
APOLLOHOSP,Pharma,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,✅ OK
NIFTY50,Benchmark,491,493,3,0.609,1,3,2023-04-07 to 2023-04-09,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,✅ OK
